category,subcategory,default_pnl_treatment,notes
Revenue / deposits,Square deposits,Income / deposit,Exclude tips where possible; reconcile to net sales and processor reports.
Revenue / deposits,DoorDash deposits,Income / deposit,Marketplace deposits; reconcile to delivery platform reporting.
Revenue / deposits,Uber deposits,Income / deposit,Marketplace deposits; negative amounts in June looked like inflows.
Payroll / labor,ADP wage pay,Expense,"Cash payroll; later split hourly wages, bonuses, tips."
Payroll / labor,ADP payroll taxes / withholding,Expense / liability split needed,Use ADP reports to isolate employer tax from employee withholding.
Inventory / food / supplies,Palmetto inventory purchases,COGS / inventory,Includes paid and unpaid bases invoices.
Inventory / food / supplies,Produce vendor,COGS / inventory,Brothers Produce.
Inventory / food / supplies,Amazon purchases,Inventory by current user preference,Override in UI when receipt shows equipment or one-off.
Logistics / facilities / store ops,Frozen freight,Expense,Track freight-to-sales and freight-per-tub.
Logistics / facilities / store ops,Facility service,Expense,Cintas; review contract.
Logistics / facilities / store ops,Vehicle / transport,Expense / allocation review,"TD Auto, Tesla, tolls may need allocation decision."
Marketing + software tools,Paid digital ads,Expense,Track paid-media-to-sales.
Marketing + software tools,Local magazine,Occasional campaign expense,Wainscot; not default monthly recurring.
Marketing + software tools,Software / AI tooling,Expense,"Cursor, Anthropic, Lovable, Adobe, etc."
One-off equipment / setup,Apple Mac / equipment,One-off expense / capex review,Exclude from monthly run-rate.
Review / possible owner purchase,Unknown / ambiguous,Review,Route low-confidence or ambiguous transactions to UI review.
