priority,rule_id,match_field,match_operator,match_pattern,amount_sign,category,subcategory,accounting_line,recurrence_treatment,confidence,rule_note,june_context
10,income_square_deposit,name,contains,Square Inc,negative,Revenue / deposits,Square deposits,Net sales / processor deposits,recurring,high,Usually Square settlement/deposit. Treat as inflow; may need tips/fees reconciliation outside bank feed.,June sheet: Square deposits totaled about $35.6K.
20,income_doordash_deposit,name,contains,doordash,negative,Revenue / deposits,DoorDash deposits,Marketplace deposits,recurring,high,"Treat as delivery platform inflow. Normalize garbled names like "", Inc. Orig Desc Date...doordash"".",June sheet: DoorDash deposits totaled about $2.8K.
30,income_uber_deposit,name,contains,Uber,negative,Revenue / deposits,Uber deposits,Marketplace deposits,recurring,medium,Negative Uber amounts looked like deposits/inflows in this sheet. Positive Uber would need review.,June sheet: Uber deposits totaled about $2.0K.
40,income_zelle_transfer,name,contains,Zelle Transfer,negative,Other inflow / owner transfer,Zelle / reimbursement,Owner/reimbursement/cash movement,review,medium,Do not automatically count as revenue unless user confirms source.,"June sheet had pending Zelle from Kunjal Shah for $2,000."
50,refund_amazon,name,contains,Amazon,negative,Contra expense / refund,Amazon refund,Inventory offset or refund,irregular,high,"Negative Amazon should offset Amazon purchases, not be counted as sales.",June sheet had one Amazon credit/refund of $119.99.
100,payroll_adp_wages,name,contains,ADP WAGE,positive,Payroll / labor,ADP wage pay,Labor cash outflow; later split hourly wages vs bonuses/tips,recurring,high,"For management P&L, ideally separate hourly wages from bonuses, tips, and taxes using ADP reports.",Action item: monitor hourly wages-to-sales ratio separately.
110,payroll_adp_tax,name,contains,ADP TAX,positive,Payroll / labor,ADP payroll taxes / withholding,Needs ADP split: employer taxes vs employee withholding,recurring,medium,ADP Tax may include employee withholding remitted plus employer payroll tax; avoid double-counting if gross wages already include withholding.,Use cash view until ADP detail is available.
120,payroll_adp_fees,name,contains_any,ADP PAYROLL FEES|PAY-BY-PAY,positive,Payroll / labor,ADP payroll fees,Payroll processing expense,recurring,high,Classify ADP processing fees separately from wages.,June had ADP Payroll Fees.
130,payroll_adp_401k,name,contains,ADP 401K,positive,Payroll / labor,ADP 401k / benefits,Benefits/payroll-related cash outflow,recurring,medium,"May be employee deduction, employer contribution, or plan remittance; review ADP detail.",Keep in payroll bucket until split.
200,inventory_palmetto_card,name,contains,Palmetto Superfoods,positive,Inventory / food / supplies,Palmetto inventory purchases,COGS / bases / franchise inventory,recurring,high,Includes Palmetto Superfoods charges; user also has unpaid Palmetto bases invoice.,June paid Palmetto-related amount plus unpaid invoice should be tracked.
210,inventory_palmetto_ach,name,contains,Palmetto Superfo,positive,Inventory / food / supplies,Palmetto ACH purchase,COGS / bases / franchise inventory,recurring,high,ACH purchase from Palmetto; classify as inventory/COGS-like.,June had Palmetto purchase ACH items.
220,inventory_palmetto_manual_invoice,name,contains,Palmetto invoice,positive,Inventory / food / supplies,Unpaid Palmetto bases invoice,Accrual COGS / unpaid invoice,manual-accrual,high,Use for manually entered unpaid vendor invoices that have not hit bank feed.,"User provided unpaid invoice amount of $5,120."
230,inventory_brothers_produce,name,contains,Brothers Produce,positive,Inventory / food / supplies,Produce vendor,Food / produce COGS,recurring,high,Classify as produce/ingredients.,June Brothers Produce was about $4.8K.
240,inventory_terrasoul,name,contains,Terrasoul,positive,Inventory / food / supplies,Terrasoul wholesale,Food / ingredient COGS,recurring,high,Classify as wholesale food/ingredient inventory.,June Terrasoul was about $1.9K.
